conversation_id_str,created_at,full_text,username
1860008221714640907,Fri Nov 22 17:11:31 +0000 2024,Kriteria Ketercapaian Tujuan Pembelajaran (KKTP) Pendidikan Pancasila Kelas 2 SD/MI Fase A Kurikulum Merdeka #kktpkelas2 #kktppendidikanpancasila #kktpkurikulummerdeka #kriteriaketercapaiantujuanpembelajaran https://t.co/Ow1R0LF1Ys,abdierablog
1859991909848256861,Fri Nov 22 16:06:42 +0000 2024,Kurikulum Merdeka di PKBM: Antara Asa Realita dan Transformasi Paradigma Guru https://t.co/SM2R19JYdQ,kompasiana
1859981736370921631,Fri Nov 22 15:26:17 +0000 2024,PRELOVED BUKU ERLANGGA KELAS 10 KURIKULUM MERDEKA #preloved #buku https://t.co/RDy5hGIRGU,jerukimuy
1859976077432803750,Fri Nov 22 15:03:48 +0000 2024,Ini tuh cara yg d pakai kurikulum merdeka sekarang yaaa,unovirse
1859945019903275498,Fri Nov 22 13:00:23 +0000 2024,sch! kalian ada yg ngerasa keberatan ga kalo eligible kurmer dipukul rata? please ada info terbaru tentang eligible kurikulum merdeka ga? aku ovt banget karena mapel pilihanku ipa smua dan nilainya kalah sm kombinasi lain,schfess
1859164590925615584,Fri Nov 22 12:24:51 +0000 2024,@ismailfahmi @Abe_Mukti Zonasi - bad idea.. Ujian Nasional - wajib SMK - paling cocok Sekolah unggulan - gak usah kalau Masih maksain anak umur 'tua' dpt previledge Coding - gak usahlah.. ratakan dulu standar guru ke daerah² Guru penggerak - harus... Kurikulum merdeka - gak usah merdeka²amat,WendyRinaldy
1859911801246519633,Fri Nov 22 10:48:25 +0000 2024,Padahal dulu Presma Presma sebelum Covid di IPB tuh hampir semuanya mapres (minimal mapres jurusan) jadi sampe disebut mapresma. Kok sekarang gini amat ya penurunan kualitasnya? Apa gara gara kurikulum merdeka? Makanya mereka kuliah semaunya dan semerdekanya?,_ezalev
1859638557922689370,Fri Nov 22 10:46:20 +0000 2024,@Citragusti2 sblm kurikulum merdeka bg msh banyak yg ga paham basic mtk,liliedescartes
1859910194505134294,Fri Nov 22 10:42:27 +0000 2024,Alasannua mah krna kurikulum merdeka cnah ah ni hoream,flafwl
1859590161094541782,Fri Nov 22 10:35:35 +0000 2024,@agneps @kegblgnunfaedh Jadilah kurikulum merdeka dan oon semua..,RiffatAV
1859907917908250905,Fri Nov 22 10:32:57 +0000 2024,that we called kurikulum merdeka ,bbyvalco
1859638557922689370,Fri Nov 22 09:54:27 +0000 2024,@liliedescartes Kurikulum merdeka itu semua anak wajib naik dan lulus kk,Citragusti2
1859866049757446284,Fri Nov 22 07:46:35 +0000 2024,guyss kalo aku preloved buku paket kurikulum merdeka kelas 10 ada yg mau gaakkk,snazzywhiskers
1859537522684199223,Fri Nov 22 07:35:58 +0000 2024,@tempodotco Stop cok itu gak guna LEBIH BAIK LO PERBAIKI LAGI TU KURIKULUM MERDEKA!! LO PERBAIKIN DULU PENDIDIKAN DASAR!,ddolppangcweguu
1859817014589784197,Fri Nov 22 06:59:50 +0000 2024,@__AnakKolong Utk mengatasinya di era otda adalah kurikulum merdeka sekolah yg paham mutu pendidikan sekolah dan tendik jg murid2nya nah itu yg wajib didiagnosa oleh kadisdik utk dijadikan kebijakan utk meningkatkan mutu pendidikan,KarundengUsi
1859850517117321407,Fri Nov 22 06:44:52 +0000 2024,Hint: kurikulum merdeka,salimashaidy
1859835550716526695,Fri Nov 22 05:45:24 +0000 2024,Absen yang setuju kurikulum merdeka ini dihapus aja.,DriftForSpeed
1859817496456593730,Fri Nov 22 04:33:39 +0000 2024,Lepas dari pro kontra Kurikulum Merdeka perkembangan anak2 terkadang mengejutkan juga. Project P5 utk anak SD mereka bisa bikin film pendek edit putar cari penonton sampai jualan makanan saat nonton. Gak semua sehancur nyinyiran orang2 kok,MashudiRbg
1859806840345010636,Fri Nov 22 03:51:18 +0000 2024,Bahkan bule juga ngitungnya kaya jaman gue ini fuck kurikulum merdeka,kkmjongg
1859796111252390247,Fri Nov 22 03:08:40 +0000 2024, Pak ini bukunya gak ada yang lebih update? Hah? Kenapa emang? Presidennya sekarang kan Pak Prabowo? BUKU IPS MU ITU KURIKULUM MERDEKA TERBITAN 2023 BELIAU BAHKAN BELUM ADA DUA BULAN MENJABAAAAAAATTTTT!!!!!,Yukikaze_D_
1859633051392934041,Fri Nov 22 02:46:48 +0000 2024,@MhmmdRauf13 @MafiaWasit Kurikulum merdeka bang jadi ya berfikir merdeka alias suka suka paham atau ngga yg penting merdeka dan suka suka ,ebenkap
1859776569277022364,Fri Nov 22 01:51:01 +0000 2024,Saya buka jasa joki pembuatan modul ajar kurikulum merdeka Atau juga bisa yang lebih lengkapnya perangkat ajar 250k udah lengkap dengan bahan ajar/bacaan lkpd soal evaluasi dll tinggal diimplementasikan saja untuk ukin ataupun mengajar yo https://t.co/7q25n8Ynyo,uci_store
1859766509071106479,Fri Nov 22 01:37:10 +0000 2024,@sauskejucrispy nah kuwi lah wkwkw kleru ngitung kok jadi tolol saya kayak kena kurikulum merdeka. underage wes duwe anak dadi kudu qerja bagai kuda,U_Lex
1859767821842121141,Fri Nov 22 01:16:16 +0000 2024,DPR RI Desak Mendikdasmen Hapus Jalur Zonasi PPDB dan Cakap Soal Kurikulum Merdeka https://t.co/t1b9mRFVp0,CelahSumbar
1859731341119717832,Thu Nov 21 22:51:18 +0000 2024,Kaget aku pagi lihat Kata Shofi : sekarang kurikulum merdeka jadi anak2 bisa berkreasi sendiri. Tanpa kompromi dengan orang tua ternyata anak2 punya ide untuk ibu Guru Semoga ibu Guru seneng Dapat surprise dari anak-anak https://t.co/f495xvWFCq,oxAamiin
1859645517518733359,Thu Nov 21 17:10:16 +0000 2024,Program Semester (Promes/Prosem) Bahasa Indonesia Kelas 1 SD/MI Fase A Kurikulum Merdeka #prosemkelas1 #promeskelas1 #prosembahasaindonesia #promesbahasaindonesia #promeskurikulummerdeka #prosemkurikulummerdeka https://t.co/34kd5pVTic,abdierablog
1859639189203288212,Thu Nov 21 17:06:51 +0000 2024,@ismailfahmi Hemat saya cara itu dipakai juga untuk evaluasi soal Kurikulum Merdeka. Secara internal Kemendikbud dulu toh datanya kam tinggal dibuka saja. Untuk apa ada birokrasi dgn pejabat2 yg selama ini mengurusnya jika hanya dilompati tak digunakan. Kan sayang. Soal ide baru rencana,ferrykoto
1859604458839404677,Thu Nov 21 16:20:26 +0000 2024,@noerette Gak ada yang salah semuanya benar karena di kurikulum merdeka ini kita menerima semua jawaban dari para murid. Bahkan jawaban sapi makan martabak pun kami terima.,isarhett
1859630698602299851,Thu Nov 21 16:11:23 +0000 2024,Buset gua disuruh bikin jurnal mulu Dibayar kaga anying. Kurikulum merdeka your ass anying,Dayyzerozerosix
1859625364915359887,Thu Nov 21 15:50:11 +0000 2024,Sch! Guys les kumon untuk anak kelas 4 sekarang masih worth it kah? Pelajarannya masih sama ga kaya kurikulum merdeka,schfess
1859618461430972914,Thu Nov 21 15:22:45 +0000 2024,Hasil dari kurikulum merdeka belajar,ytgreeche
1859611648828506423,Thu Nov 21 14:55:41 +0000 2024,Ini akibat 10 tahun Mulyono dan kurikulum merdeka ala manusia timur tengah @nadiemmakarim https://t.co/udVE8hlEI8,GaMauntuk2024
1859601778750427228,Thu Nov 21 14:16:28 +0000 2024,110 Guru PAUD Ikuti Pelatihan Implementasi Kurikulum Merdeka #BacadiBJ #beritajakarta #dkijakarta #JAKI #WeLoveJakarta https://t.co/6rADsZBa3b,BeritaJakarta
1859174824633082281,Thu Nov 21 14:04:09 +0000 2024,@profesor_saham @vanillaics Hmmm. Kurikulum merdeka pokoke pak,Tlaksas
1859164590925615584,Thu Nov 21 13:51:33 +0000 2024,@ismailfahmi @Abe_Mukti Murid2 belum mampu menangkap maksud kurikulum merdeka ini dengan baik sehingga saat ini murid² cenderung menyepelekan dan menggampangkan guru²,99cd0eb842154b1
1859411639428157673,Thu Nov 21 13:50:29 +0000 2024,@haiimatcha_ Kurikulum Merdeka,amrifauzan85
1859587107402154149,Thu Nov 21 13:18:10 +0000 2024,Wkwk konten buatan gen z lulusan kurikulum merdeka ,thiskindaloveee
1859253260122734621,Thu Nov 21 12:03:35 +0000 2024,@tanyarlfes Stigma begini yang bikin anak sekarang ga ada jiwa bersaing ambis dan ga mau belajar di tambah kurikulum merdeka sebuah kombo yang bikin mereka mikir ngapain juga capek capek belajar .,SonaMarcel9
1859564698397704619,Thu Nov 21 11:49:07 +0000 2024, Joki tugas pendidikan (khususny PGSD) Skripsi kualitatif k13 kurikulum merdeka RPP modul bahan ajar LKPD soal eval PPT artikel makalah jurnal jasa tulis ketik mind map poster infografis. Trusted murah &amp; tidak asal. Testi di bio‍️ ️ https://t.co/2xMgYnqXf7 https://t.co/pZSulPQBWo,changguyaaa2
1859520342441721914,Thu Nov 21 08:52:52 +0000 2024,30 Contoh Soal Matematika Kelas 5 Semester 1 Kurikulum Merdeka Beserta Jawabannya https://t.co/DZfxUIJmUf,officialinews_
1859508562030186671,Thu Nov 21 08:24:24 +0000 2024,@krenysabl Ouhh kurikulum merdeka ya lupa²,Lie_birth
1859051164819746900,Thu Nov 21 08:19:23 +0000 2024,@produxtif hasil kurikulum merdeka,kingofpantun
